,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
149,11238,304209,51959.0,34.8,69491.0,40557.0,7149.0,13.758925306491657
150,11239,99378,12943.0,41.7,27886.0,19169.0,4100.0,31.67735455458549
151,11351,0,0.0,,,,0.0,
152,11354,1045895,56433.0,44.2,46650.0,23833.0,10168.0,18.01782644906349
153,11355,944546,83799.0,40.9,40539.0,19811.0,18429.0,21.991909211327105
154,11356,503334,23800.0,36.0,59084.0,24417.0,2911.0,12.231092436974789
155,11357,334190,40588.0,44.8,73189.0,34857.0,2390.0,5.8884399329851185
156,11358,202211,37634.0,42.3,67277.0,30097.0,4100.0,10.894403996386247
157,11359,5190,0.0,,,,0.0,
158,11360,116528,19916.0,48.5,79513.0,43697.0,1274.0,6.396866840731071
159,11361,364778,30352.0,41.1,77219.0,33806.0,2450.0,8.071955719557195
160,11362,111656,17897.0,45.0,82058.0,38018.0,1450.0,8.101916522322178
161,11363,38610,7625.0,42.0,92711.0,42724.0,453.0,5.940983606557377
162,11364,85142,34902.0,43.4,72344.0,33783.0,3000.0,8.5954959601169
163,11365,325252,43138.0,41.6,58990.0,27555.0,6230.0,14.442023274143446
164,11366,103974,13146.0,41.4,71692.0,31680.0,1736.0,13.205537806176784
165,11367,150594,41582.0,34.7,54218.0,26144.0,6467.0,15.552402481843105
166,11368,506266,110385.0,31.6,45014.0,16061.0,26691.0,24.179915749422477
167,11369,196134,39862.0,35.2,54181.0,21072.0,7027.0,17.628317696051376
168,11370,372514,36271.0,35.5,54196.0,18161.0,4538.0,12.51137272200932
169,11371,0,0.0,,,,0.0,
170,11372,296707,63202.0,37.9,46402.0,25416.0,12476.0,19.739881649314896
171,11373,685399,100713.0,36.3,49042.0,21905.0,19865.0,19.72436527558508
172,11374,419375,41792.0,42.8,50606.0,32415.0,5403.0,12.928311638591119
173,11375,843688,69652.0,41.9,71643.0,44032.0,6021.0,8.644403606500891
174,11377,663322,88939.0,35.9,49641.0,23505.0,13962.0,15.698400026984787
175,11378,864164,30854.0,39.6,56278.0,29422.0,3626.0,11.752122901406624
176,11379,151100,35725.0,43.4,71393.0,33357.0,3473.0,9.72148355493352
177,11385,546522,100132.0,35.3,53558.0,24197.0,17346.0,17.323133463827748
178,11411,40077,19177.0,44.4,81117.0,31752.0,838.0,4.369818011159201
179,11412,48274,37690.0,39.6,70709.0,25496.0,3507.0,9.304855399310162
180,11413,231936,41689.0,39.3,80237.0,28580.0,2946.0,7.066612295809446
181,11414,97198,28742.0,44.2,69088.0,35199.0,2544.0,8.85115858325795
182,11415,151886,19020.0,37.9,64696.0,35734.0,2161.0,11.361724500525762
183,11416,0,25973.0,33.9,58621.0,21338.0,4214.0,16.22454086936434
184,11417,116957,31556.0,36.8,61617.0,24237.0,4890.0,15.496260616047662
185,11418,571898,36751.0,34.9,61472.0,23317.0,5283.0,14.375119044379744
186,11419,102116,48370.0,36.5,55557.0,19170.0,8620.0,17.820963407070497
187,11420,159755,50162.0,36.8,57784.0,22129.0,6144.0,12.248315457916352
188,11421,62850,42745.0,34.8,61974.0,23475.0,6558.0,15.342145280149724
189,11422,81768,32589.0,35.5,83631.0,29035.0,2743.0,8.416950504771549
190,11423,105852,32053.0,39.4,60161.0,25657.0,3423.0,10.679187595544878
191,11424,800,0.0,,,,0.0,
192,11425,137,0.0,,,,0.0,
193,11426,60281,19348.0,40.8,77917.0,31453.0,1747.0,9.029357039487286
194,11427,0,23460.0,41.8,69847.0,29657.0,2578.0,10.988917306052857
195,11428,74211,20461.0,40.2,68077.0,23357.0,2224.0,10.869458970724793
196,11429,102394,27506.0,39.9,71208.0,24564.0,3321.0,12.073729368137862
197,11430,1686458,171.0,43.4,,8278.0,143.0,83.62573099415205
198,11432,565627,62395.0,35.8,49631.0,21641.0,12609.0,20.208350028047118
199,11433,159125,37927.0,30.7,44799.0,17236.0,7835.0,20.658106362222163
200,11434,505969,65255.0,35.6,58178.0,23690.0,8536.0,13.080989962454984
201,11435,315989,54523.0,35.7,52939.0,23353.0,9645.0,17.689782293710913
202,11436,30719,18609.0,35.5,61544.0,23204.0,2433.0,13.074318877962277
203,11451,1380,0.0,,,,0.0,
204,11691,334972,62577.0,32.6,39986.0,19097.0,15152.0,24.213369129232785
205,11692,53964,17970.0,35.2,40298.0,21118.0,3903.0,21.719532554257096
206,11693,38904,11338.0,38.9,51116.0,25732.0,2325.0,20.50626212735932
207,11694,77551,21507.0,43.1,75615.0,37351.0,1369.0,6.365369414609197
208,11697,0,4078.0,49.3,82230.0,39540.0,123.0,3.0161844041196666
