,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
139,11228,159897,43396.0,40.3,61213.0,29107.0,4490.0,10.346575721264633,30401.0,12995
140,11229,457607,79268.0,41.0,49629.0,25943.0,11688.0,14.744915981228239,57116.0,22152
141,11230,571833,84707.0,34.3,42568.0,22268.0,18138.0,21.41263413885511,60727.0,23980
142,11231,402566,34393.0,34.7,71999.0,46008.0,5607.0,16.302736021864913,21938.0,12455
143,11232,596437,28703.0,30.9,40565.0,18253.0,7080.0,24.66641117653207,13133.0,15570
144,11233,124722,67661.0,32.5,35620.0,19786.0,20257.0,29.938960405551203,3205.0,64456
145,11234,671012,95390.0,37.7,68177.0,28752.0,9134.0,9.575427193626167,44611.0,50779
146,11235,612464,72447.0,45.1,42298.0,27291.0,14273.0,19.701298880560962,59048.0,13399
147,11236,410618,97084.0,36.1,60758.0,24388.0,13299.0,13.698446705945367,6864.0,90220
148,11237,413133,53031.0,29.3,37636.0,15692.0,17504.0,33.007109049423924,18048.0,34983
149,11238,259363,52033.0,34.0,64981.0,38807.0,7642.0,14.686833355755002,20025.0,32008
150,11239,92874,12850.0,42.0,24640.0,18138.0,4030.0,31.361867704280154,5022.0,7828
151,11351,0,0.0,,,,0.0,,0.0,0
152,11354,988640,55543.0,42.1,48236.0,23665.0,9233.0,16.62315683344436,15030.0,40513
153,11355,785361,83938.0,40.2,43248.0,20994.0,15983.0,19.041435345135696,14519.0,69419
154,11356,432351,22947.0,36.9,59289.0,26311.0,1987.0,8.659083976118882,10873.0,12074
155,11357,270573,40705.0,43.8,76014.0,35412.0,1845.0,4.532612701142366,31810.0,8895
156,11358,177024,39143.0,41.1,67924.0,31026.0,3725.0,9.516388626318882,19075.0,20068
157,11359,6718,0.0,,,,0.0,,0.0,0
158,11360,107193,20688.0,47.8,76438.0,41606.0,1041.0,5.031902552204176,13105.0,7583
159,11361,346551,29197.0,41.5,72837.0,32510.0,2304.0,7.891221700859678,16308.0,12889
160,11362,103471,18220.0,46.7,86051.0,38620.0,1331.0,7.305159165751921,10113.0,8107
161,11363,32333,7442.0,43.0,91712.0,47492.0,186.0,2.49932813759742,4357.0,3085
162,11364,77264,35106.0,42.4,73079.0,33023.0,3243.0,9.237737138950607,16195.0,18911
163,11365,304996,41520.0,40.0,56131.0,26190.0,5431.0,13.080443159922929,15058.0,26462
