,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
68,10302,232032,17758.0,33.6,55864.0,24433.0,4027.0,22.677103277396103,10741.0,7017
69,10303,321219,24562.0,32.5,55198.0,21991.0,6175.0,25.14046087452162,9863.0,14699
70,10304,210633,42054.0,36.5,53843.0,30064.0,8828.0,20.992057830408523,22216.0,19838
71,10305,820809,41533.0,39.6,74063.0,30422.0,4993.0,12.021765824765849,31588.0,9945
72,10306,345812,55031.0,42.3,78745.0,35191.0,4793.0,8.709636386763824,48996.0,6035
73,10307,54830,15275.0,38.0,77278.0,36505.0,1156.0,7.567921440261866,14322.0,953
74,10308,79489,30347.0,42.7,87493.0,35044.0,2084.0,6.867235641084786,28094.0,2253
75,10309,338636,33459.0,39.8,93248.0,38443.0,2990.0,8.936310110881974,29960.0,3499
76,10310,346052,24250.0,35.6,69201.0,29660.0,4389.0,18.098969072164948,14641.0,9609
77,10311,41747,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0
78,10312,258524,60951.0,41.9,88567.0,37173.0,3985.0,6.538038752440485,55873.0,5078
79,10314,869649,88585.0,41.1,77761.0,34099.0,8225.0,9.284867641248518,67895.0,20690
80,10451,997834,48289.0,32.2,26419.0,17663.0,17377.0,35.985421110397816,5166.0,43123
81,10452,242857,75288.0,31.0,25771.0,14136.0,29418.0,39.07395600892573,8364.0,66924
82,10453,208154,80516.0,30.1,22914.0,12702.0,34516.0,42.86849818669581,8376.0,72140
83,10454,328832,38938.0,28.3,21553.0,12325.0,18060.0,46.38142688376393,6074.0,32864
84,10455,354356,42779.0,30.5,23962.0,12897.0,18082.0,42.26840272096122,3963.0,38816
85,10456,364927,92712.0,30.0,25868.0,13274.0,37123.0,40.041202864785575,7933.0,84779
86,10457,678370,74010.0,29.6,25967.0,13626.0,28318.0,38.262396973381975,8596.0,65414
87,10458,572396,81698.0,29.1,30339.0,15656.0,29446.0,36.04249798036672,15769.0,65929
88,10459,178279,47972.0,29.8,24805.0,13167.0,18154.0,37.842908363211876,5636.0,42336
